Category,Building,Level,Hitpoints,DPS,Cost,Time,Required Town Hall
Army,Army Camp,1,100,,200,1m,1
Army,Barracks,1,100,,100,10s,1
Army,Barracks,2,200,,500,15s,2
Army,Barracks,3,250,,2500,2m,2
Army,Barracks,4,300,,5000,30m,2
Army,Barracks,5,360,,20000,2h,3
Army,Barracks,6,420,,120000,4h,4
Army,Barracks,7,500,,270000,6h,5
Army,Barracks,8,575,,600000,12h,6
Army,Barracks,9,650,,1000000,1d,7
Army,Barracks,10,730,,1400000,1d 12h,8
Army,Barracks,11,810,,2600000,2d,9
Army,Barracks,12,900,,3700000,4d,10
Army,Barracks,13,980,,6000000,5d,11
Army,Barracks,14,1050,,7000000,6d,12
Army,Barracks,15,1150,,9000000,7d,13
Army,Barracks,16,1250,,11000000,7d 12h,14
Army,Barracks,17,1350,,12600000,8d,15
Army,Barracks,18,1450,,15000000,9d,16
Army,Barracks,19,1520,,26000000,10d 12h,17
Army,Blacksmith,1,700,,600000,12h,8
Army,Blacksmith,2,800,,1200000,1d,9
Army,Blacksmith,3,900,,2300000,2d,10
Army,Blacksmith,4,1000,,3000000,3d,11
Army,Blacksmith,5,1100,,5000000,4d,12
Army,Blacksmith,6,1200,,6200000,4d 12h,13
Army,Blacksmith,7,1300,,9200000,5d,14
Army,Blacksmith,8,1400,,10000000,6d,15
Army,Blacksmith,9,1500,,11000000,7d,16
Army,Blacksmith,10,1600,,18000000,10d,17
Army,Clan Castle,1,600,,10000,Instant,3
Army,Dark Barracks,1,500,,200000,8h,7
Army,Dark Barracks,2,550,,600000,1d,7
Army,Dark Barracks,3,600,,1000000,1d 12h,8
Army,Dark Barracks,4,650,,1600000,2d,8
Army,Dark Barracks,5,700,,2200000,2d 12h,9
Army,Dark Barracks,6,750,,2900000,3d,9
Army,Dark Barracks,7,800,,4000000,5d,10
Army,Dark Barracks,8,850,,7000000,6d,11
Army,Dark Barracks,9,900,,7200000,7d,12
Army,Dark Barracks,10,950,,10000000,7d 12h,13
Army,Dark Barracks,11,1000,,12000000,8d,14
Army,Dark Barracks,12,1050,,20000000,9d,15
Army,Dark Spell Factory,1,600,,130000,6h,8
Army,Hero Hall,1,800,,30000,1h,4
Army,Laboratory,1,500,,5000,1m,3
Army,Pet House,1,700,,3000000,1d,14
Army,Pet House,2,800,,4000000,2d,14
Army,Pet House,3,900,,5000000,3d,14
Army,Pet House,4,1000,,6000000,3d 12h,14
Army,Pet House,5,1050,,7000000,4d,15
Army,Pet House,6,1100,,8000000,4d 12h,15
Army,Pet House,7,1150,,9000000,5d,15
Army,Pet House,8,1200,,10000000,5d 12h,15
Army,Pet House,9,1250,,11000000,6d,16
Army,Pet House,10,1300,,12000000,7d,16
Army,Pet House,11,1350,,16500000,8d,17
Army,Pet House,12,1400,,25500000,13d 12h,18
Army,Siege Workshop,1,1000,,2400000,2d,12
Army,Siege Workshop,2,1100,,3700000,3d,12
Army,Siege Workshop,3,1200,,5000000,3d 12h,12
Army,Siege Workshop,4,1300,,8700000,4d,13
Army,Siege Workshop,5,1400,,9000000,5d,13
Army,Siege Workshop,6,1500,,10000000,5d 12h,14
Army,Siege Workshop,7,1600,,11000000,6d,15
Army,Siege Workshop,8,1700,,13000000,7d,16
Army,Siege Workshop,9,1800,,26000000,13d 12h,17
Army,Spell Factory,1,425,,150000,6h,5
Builder Base,Air Bombs,1,1000,,300000,6h,4
Builder Base,Air Bombs,2,1100,,320000,12h,4
Builder Base,Air Bombs,3,1250,,340000,1d,4
Builder Base,Air Bombs,4,1400,,360000,2d,4
Builder Base,Air Bombs,5,1600,,1200000,3d,5
Builder Base,Air Bombs,6,1850,,1500000,5d,6
Builder Base,Air Bombs,7,2100,,2400000,7d,7
Builder Base,Air Bombs,8,2350,,3400000,8d,8
Builder Base,Air Bombs,9,2600,,4400000,10d,9
Builder Base,Air Bombs,10,2900,,5400000,12d,10
Builder Base,Archer Tower,1,500,40,12000,5m,2
Builder Base,Archer Tower,2,575,44,30000,15m,3
Builder Base,Archer Tower,3,660,48,60000,2h,3
Builder Base,Archer Tower,4,760,53,250000,8h,4
Builder Base,Archer Tower,5,875,59,800000,1d,5
Builder Base,Archer Tower,6,1050,64,1200000,2d,6
Builder Base,Archer Tower,7,1250,71,2000000,4d,7
Builder Base,Archer Tower,8,1450,78,2800000,6d,8
Builder Base,Archer Tower,9,1650,86,3600000,8d,9
Builder Base,Archer Tower,10,1850,94,4600000,9d,10
Builder Base,Army Camp,1,300,,N/A,N/A,1
Builder Base,BOB Control,1,250,,100000,Instant,9
Builder Base,BOB Control,2,250,,500000,Instant,
Builder Base,BOB Control,3,250,,1000000,Instant,
Builder Base,BOB Control,4,250,,2000000,Instant,
Builder Base,BOB Control,5,250,,3000000,Instant,
Builder Base,Barracks,1,300,,1000,Instant,1
Builder Base,Barracks,2,350,,4000,1m,2
Builder Base,Barracks,3,400,,10000,10m,3
Builder Base,Barracks,4,460,,25000,30m,3
Builder Base,Barracks,5,550,,100000,3h,4
Builder Base,Barracks,6,650,,150000,6h,4
Builder Base,Barracks,7,750,,300000,9h,5
Builder Base,Barracks,8,850,,500000,1d,6
Builder Base,Barracks,9,1000,,1000000,2d,7
Builder Base,Barracks,10,1150,,1500000,3d,8
Builder Base,Barracks,11,1300,,2000000,4d,9
Builder Base,Barracks,12,1450,,3000000,5d,10
Builder Base,Battle Copter Altar,1,250,,2500000,Instant,5
Builder Base,Battle Machine Altar,1,250,,900000,12h,5
Builder Base,Builder Hall,1,650,,N/A,N/A,
Builder Base,Builder Hall,2,800,,3500,5s,
Builder Base,Builder Hall,3,975,,30000,1h,
Builder Base,Builder Hall,4,1150,,200000,1d,
Builder Base,Builder Hall,5,1350,,400000,2d,
Builder Base,Builder Hall,6,1600,,1200000,3d,
Builder Base,Builder Hall,7,1850,,1800000,4d,
Builder Base,Builder Hall,8,2150,,2800000,5d,
Builder Base,Builder Hall,9,2450,,3800000,6d,
Builder Base,Builder Hall,10,2750,,4800000,7d,
Builder Base,Builders Hut,1,300,,1000,Instant,2
Builder Base,Cannon,1,500,,10000,1m,1
Builder Base,Cannon,2,575,,20000,5m,3
Builder Base,Cannon,3,660,,50000,2h,3
Builder Base,Cannon,4,760,,200000,8h,4
Builder Base,Cannon,5,875,,600000,1d,5
Builder Base,Cannon,6,1050,,1000000,2d,6
Builder Base,Cannon,7,1250,,1800000,4d,7
Builder Base,Cannon,8,1450,,2500000,6d,8
Builder Base,Cannon,9,1650,,3300000,8d,9
Builder Base,Cannon,10,1850,,4500000,9d,10
Builder Base,Clock Tower,1,650,,150000,2h,4
Builder Base,Clock Tower,2,800,,180000,3h,4
Builder Base,Clock Tower,3,975,,220000,4h,4
Builder Base,Clock Tower,4,1150,,300000,6h,4
Builder Base,Clock Tower,5,1350,,700000,12h,5
Builder Base,Clock Tower,6,1600,,1200000,1d,6
Builder Base,Clock Tower,7,1850,,1700000,2d,7
Builder Base,Clock Tower,8,2150,,2200000,3d,8
Builder Base,Clock Tower,9,2450,,2700000,4d,9
Builder Base,Clock Tower,10,2750,,3700000,5d,10
Builder Base,Crusher,1,1000,,120000,2h,3
Builder Base,Crusher,2,1100,,180000,5h,3
Builder Base,Crusher,3,1250,,220000,12h,3
Builder Base,Crusher,4,1400,,350000,1d,4
Builder Base,Crusher,5,1600,,1200000,2d,5
Builder Base,Crusher,6,1850,,1500000,4d,6
Builder Base,Crusher,7,2100,,2400000,6d,7
Builder Base,Crusher,8,2350,,3400000,8d,8
Builder Base,Crusher,9,2600,,4400000,10d,9
Builder Base,Crusher,10,2900,,5400000,12d,10
Builder Base,Double Cannon,1,600,,20000,10m,2
Builder Base,Double Cannon,2,690,,50000,1h,3
Builder Base,Double Cannon,3,800,,80000,3h,3
Builder Base,Double Cannon,4,910,,300000,12h,4
Builder Base,Double Cannon,5,1050,,900000,1d,5
Builder Base,Double Cannon,6,1250,,1400000,2d,6
Builder Base,Double Cannon,7,1450,,2200000,4d,7
Builder Base,Double Cannon,8,1700,,3200000,6d,8
Builder Base,Double Cannon,9,1950,,4200000,8d,9
Builder Base,Double Cannon,10,2200,,5200000,10d,10
Builder Base,Elixir Collector,1,300,,1000,10m,1
Builder Base,Elixir Collector,2,350,,5000,20m,3
Builder Base,Elixir Collector,3,400,,10000,40m,3
Builder Base,Elixir Collector,4,460,,30000,2h,4
Builder Base,Elixir Collector,5,550,,60000,6h,5
Builder Base,Elixir Collector,6,650,,100000,1d,6
Builder Base,Elixir Collector,7,750,,200000,1d 12h,7
Builder Base,Elixir Collector,8,850,,300000,2d,8
Builder Base,Elixir Collector,9,1000,,400000,2d 12h,9
Builder Base,Elixir Collector,10,1150,,800000,3d,10
Builder Base,Elixir Storage,1,650,,20000,30m,3
Builder Base,Elixir Storage,2,800,,80000,1h,3
Builder Base,Elixir Storage,3,975,,200000,3h,3
Builder Base,Elixir Storage,4,1150,,300000,6h,4
Builder Base,Elixir Storage,5,1350,,600000,12h,5
Builder Base,Elixir Storage,6,1600,,1000000,1d,6
Builder Base,Elixir Storage,7,1850,,1500000,2d,7
Builder Base,Elixir Storage,8,2150,,2000000,3d,8
Builder Base,Elixir Storage,9,2450,,2500000,4d,9
Builder Base,Elixir Storage,10,2750,,3200000,5d,10
Builder Base,Firecrackers,1,400,,40000,15m,3
Builder Base,Firecrackers,2,460,,80000,2h,3
Builder Base,Firecrackers,3,530,,120000,4h,3
Builder Base,Firecrackers,4,610,,300000,12h,4
Builder Base,Firecrackers,5,700,,800000,1d,5
Builder Base,Firecrackers,6,850,,1200000,2d,6
Builder Base,Firecrackers,7,1000,,2000000,4d,7
Builder Base,Firecrackers,8,1150,,3000000,6d,8
Builder Base,Firecrackers,9,1300,,4000000,8d,9
Builder Base,Firecrackers,10,1500,,5000000,9d,10
Builder Base,Gem Mine,1,300,,120000,1h,3
Builder Base,Gem Mine,2,350,,180000,2h,3
Builder Base,Gem Mine,3,400,,240000,6h,3
Builder Base,Gem Mine,4,460,,450000,8h,4
Builder Base,Gem Mine,5,550,,1000000,12h,5
Builder Base,Gem Mine,6,650,,1500000,1d,6
Builder Base,Gem Mine,7,750,,2500000,2d,7
Builder Base,Gem Mine,8,850,,3500000,4d,8
Builder Base,Gem Mine,9,1000,,4500000,6d,9
Builder Base,Gem Mine,10,1150,,5500000,8d,10
Builder Base,Giant Cannon,1,700,,2000000,1d,7
