Category,Building,Level,Hitpoints,DPS,Cost,Time,Required Town Hall
Army,Army Camp,1,100,,200,1m,1
Army,Army Camp,2,150,,2000,5m,2
Army,Army Camp,3,200,,10000,30m,3
Army,Army Camp,4,250,,100000,2h,4
Army,Army Camp,5,300,,250000,6h,5
Army,Army Camp,6,330,,500000,12h,6
Army,Army Camp,7,400,,1500000,2d,9
Army,Army Camp,8,500,,2500000,3d,10
Army,Army Camp,9,600,,4200000,3d 12h,11
Army,Army Camp,10,700,,4500000,4d,12
Army,Army Camp,11,800,,7500000,5d,13
Army,Army Camp,12,850,,10000000,6d,15
Army,Army Camp,13,900,,17000000,7d 12h,17
Army,Army Camp,14,950,,26000000,15d,18
Army,Barracks,1,100,,100,10s,1
Army,Barracks,2,200,,500,15s,1*
Army,Barracks,3,250,,2500,2m,1*
Army,Barracks,4,300,,5000,30m,2
Army,Barracks,5,360,,20000,2h,3
Army,Barracks,6,420,,120000,4h,4
Army,Barracks,7,500,,270000,6h,5
Army,Barracks,8,575,,600000,12h,6
Army,Barracks,9,650,,1000000,1d,7
Army,Barracks,10,730,,1400000,1d 12h,8
Army,Barracks,11,810,,2600000,2d,9
Army,Barracks,12,900,,3700000,4d,10
Army,Barracks,13,980,,6000000,5d,11
Army,Barracks,14,1050,,7000000,6d,12
Army,Barracks,15,1150,,9000000,7d,13
Army,Barracks,16,1250,,11000000,7d 12h,14
Army,Barracks,17,1350,,12600000,8d,15
Army,Barracks,18,1450,,15000000,9d,16
Army,Barracks,19,1520,,26000000,10d 12h,17
Army,Blacksmith,1,700,,600000,12h,8
Army,Blacksmith,2,800,,1200000,1d,9
Army,Blacksmith,3,900,,2300000,2d,10
Army,Blacksmith,4,1000,,3000000,3d,11
Army,Blacksmith,5,1100,,5000000,4d,12
Army,Blacksmith,6,1200,,6200000,4d 12h,13
Army,Blacksmith,7,1300,,9200000,5d,14
Army,Blacksmith,8,1400,,10000000,6d,15
Army,Blacksmith,9,1500,,11000000,7d,16
Army,Blacksmith,10,1600,,18000000,10d,17
Army,Dark Barracks,1,500,,200000,8h,7
Army,Dark Barracks,2,550,,600000,1d,7
Army,Dark Barracks,3,600,,1000000,1d 12h,8
Army,Dark Barracks,4,650,,1600000,2d,8
Army,Dark Barracks,5,700,,2200000,2d 12h,9
Army,Dark Barracks,6,750,,2900000,3d,9
